,types,user_id,chapter_id,level,status,create_time_min,create_time_max
11092102,qw,21973103,8743,2,0,2021-05-18 19:17:50,2021-05-18 19:17:50
11092103,qw,21973103,8743,3,0,2021-05-18 19:17:54,2021-05-18 19:17:54
11092104,qw,21973103,8743,4,0,2021-05-18 19:17:56,2021-05-18 19:17:56
11092105,qw,21973103,8743,5,0,2021-05-18 19:17:58,2021-05-18 19:17:58
11092106,qw,21973103,8743,6,1,2021-05-18 19:18:01,2021-05-18 19:18:01
11092107,qw,21973103,8743,1,1,2021-05-18 19:18:04,2021-05-18 19:18:04
13459072,qw,22152068,8743,2,1,2021-05-18 19:17:35,2021-05-18 19:17:35
13459073,qw,22152068,8743,3,0,2021-05-18 19:17:45,2021-05-18 19:17:45
13459074,qw,22152068,8743,4,1,2021-05-18 19:18:01,2021-05-18 19:18:01
13459075,qw,22152068,8743,5,1,2021-05-18 19:18:21,2021-05-18 19:18:21
13459076,qw,22152068,8743,6,1,2021-05-18 19:18:49,2021-05-18 19:18:49
13459077,qw,22152068,8743,1,1,2021-05-18 19:18:50,2021-05-18 19:18:50
36987503,qw,23595324,8743,2,1,2021-05-18 20:05:08,2021-05-18 20:05:08
36987504,qw,23595324,8743,3,1,2021-05-18 20:05:34,2021-05-18 20:05:34
36987505,qw,23595324,8743,4,1,2021-05-18 20:06:05,2021-05-18 20:06:05
36987506,qw,23595324,8743,5,1,2021-05-18 20:07:11,2021-05-18 20:07:11
36987507,qw,23595324,8743,6,1,2021-05-18 20:07:50,2021-05-18 20:07:50
36987508,qw,23595324,8743,1,1,2021-05-18 20:07:51,2021-05-18 20:07:51
37229710,qw,23615978,8743,2,1,2021-05-18 20:10:27,2021-05-18 20:10:27
37229711,qw,23615978,8743,3,1,2021-05-18 20:11:21,2021-05-18 20:11:21
37229712,qw,23615978,8743,4,1,2021-05-18 20:12:19,2021-05-18 20:12:19
37229713,qw,23615978,8743,5,1,2021-05-18 20:13:37,2021-05-18 20:13:37
37229714,qw,23615978,8743,6,1,2021-05-18 20:15:18,2021-05-18 20:15:18
37229715,qw,23615978,8743,1,1,2021-05-18 20:15:19,2021-05-18 20:15:19
39677823,qw,23783434,8743,1,1,2021-05-18 20:05:00,2021-05-18 20:05:00
39677824,qw,23783434,8743,2,1,2021-05-18 20:05:09,2021-05-18 20:05:09
39677825,qw,23783434,8743,3,1,2021-05-18 20:05:32,2021-05-18 20:05:32
39677826,qw,23783434,8743,4,1,2021-05-18 20:05:52,2021-05-18 20:05:52
39677827,qw,23783434,8743,5,1,2021-05-18 20:06:17,2021-05-18 20:06:17
39677828,qw,23783434,8743,6,1,2021-05-18 20:07:03,2021-05-18 20:07:03
39791318,qw,23790072,8743,1,1,2021-05-18 20:05:35,2021-05-18 20:05:35
39791319,qw,23790072,8743,2,1,2021-05-18 20:06:24,2021-05-18 20:06:24
39791320,qw,23790072,8743,3,1,2021-05-18 20:08:07,2021-05-18 20:08:07
39791321,qw,23790072,8743,4,1,2021-05-18 20:10:26,2021-05-18 20:10:26
39791322,qw,23790072,8743,5,1,2021-05-18 20:11:55,2021-05-18 20:11:55
39791323,qw,23790072,8743,6,1,2021-05-18 20:14:26,2021-05-18 20:14:26
49338251,qw,24684715,8743,2,1,2021-05-18 19:17:29,2021-05-18 19:17:29
49338252,qw,24684715,8743,3,1,2021-05-18 19:18:31,2021-05-18 19:18:31
49338253,qw,24684715,8743,4,1,2021-05-18 19:19:01,2021-05-18 19:19:01
49338254,qw,24684715,8743,5,1,2021-05-18 19:20:14,2021-05-18 19:20:14
49338255,qw,24684715,8743,6,1,2021-05-18 19:23:56,2021-05-18 19:23:56
49338256,qw,24684715,8743,1,1,2021-05-18 19:23:57,2021-05-18 19:23:57
